DataLength;Bubble sort steps;Bubble sort memory;Quick sort steps;Quick sort memory;Merge sort steps;Merge sort memory;
174;45871;12;1441;2304;2967;8008;
175;46489;12;1666;2352;2987;8060;
176;46620;12;1864;2304;3007;8112;
177;45320;12;1505;2304;3027;8164;
178;47573;12;1384;2272;3047;8216;
179;46283;12;1626;2304;3067;8268;
180;46830;12;1576;2496;3087;8320;
181;46870;12;1767;2544;3107;8372;
182;50527;12;1538;2320;3127;8424;
183;48873;12;1568;2416;3147;8476;
184;50792;12;1544;2352;3167;8528;
185;49728;12;1781;2448;3187;8580;
186;52377;12;1527;2336;3207;8632;
187;52003;12;1514;2464;3227;8684;
188;51842;12;1673;2560;3247;8736;
189;52138;12;1660;2512;3267;8788;
190;56715;12;1663;2464;3287;8840;
191;56705;12;1647;2704;3307;8892;
192;51048;12;1501;2592;3327;8944;
193;55584;12;1626;2800;3347;8996;
194;56129;12;1565;2656;3367;9048;
195;55767;12;1682;2720;3387;9100;
196;58526;12;1559;2592;3407;9152;
197;55730;12;1653;2640;3427;9204;
198;58335;12;1949;2768;3447;9256;
199;59989;12;1721;2720;3467;9308;
200;61908;12;1791;2688;3487;9360;
201;56676;12;1761;2768;3507;9412;
202;58097;12;1656;2688;3527;9464;
203;62607;12;1835;2768;3547;9516;
204;62694;12;1736;2720;3567;9568;
205;64038;12;1955;2832;3587;9620;
206;64015;12;1753;2752;3607;9672;
207;65633;12;1860;2848;3627;9724;
208;65492;12;1982;2848;3647;9776;
209;64208;12;1729;2848;3667;9828;
210;65409;12;1889;2864;3687;9880;
211;64423;12;1906;2816;3707;9932;
212;64914;12;1700;2800;3727;9984;
213;64550;12;2092;2816;3747;10036;
214;67819;12;1683;2848;3767;10088;
215;68981;12;1855;2896;3787;10140;
216;72164;12;2127;2720;3807;10192;
217;72116;12;1963;2832;3827;10244;
218;70185;12;1788;2880;3847;10296;
219;68487;12;1858;2944;3867;10348;
220;75802;12;1848;2880;3887;10400;
221;71850;12;1818;2896;3907;10452;
222;72883;12;2062;3008;3927;10504;
223;71301;12;1961;3008;3947;10556;
